genre,cluster,Label 1,Label 2,Label 3,,
dunedin indie,g6,indie,,,,
dutch indie,g6,indie,,,,
eau claire indie,g6,indie,,,,
ecuadorian indie,g6,indie,,,,
edmonton indie,g6,indie,,,,
el paso indie,g6,indie,,,,
essex indie,g6,indie,,,,
estonian indie,g6,indie,,,,
eugene indie,g6,indie,,,,
faroese indie,g6,indie,,,,
finnish indie,g6,indie,,,,
firenze indie,g6,indie,,,,
fort worth indie,g6,indie,,,,
fremantle indie,g6,indie,,,,
french indietronica,g6,indie,,,,
gainesville indie,g6,indie,,,,
german indie,g6,indie,,,,
ghent indie,g6,indie,,,,
glasgow indie,g6,indie,,,,
gothenburg indie,g6,indie,,,,
grand rapids indie,g6,indie,,,,
graz indie,g6,indie,,,,
greek indie,g6,indie,,,,
guadalajara indie,g6,indie,,,,
halifax indie,g6,indie,,,,
hampton roads indie,g6,indie,,,,
hawaiian indie,g6,indie,,,,
hindi indie,g6,indie,,,,
hong kong indie,g6,indie,,,,
hungarian indie,g6,indie,,,,
icelandic indie,g6,indie,,,,
idaho indie,g6,indie,,,,
indian indie,g6,indie,,,,
indie catala,g6,indie,,,,
indie catracho,g6,indie,,,,
indie curitibano,g6,indie,,,,
indie deutschrap,g6,indie,,,,
indie emo,g6,indie,,,,
indie game soundtrack,g6,indie,,,,
indie liguria,g6,indie,,,,
indie poptimism,g7,indie,,,,
indie punk,g7,indie,,,,punk
indie quebecois,g6,indie,,,,
indie shoegaze,g6,indie,,,,
indie siciliano,g6,indie,,,,
indie singer-songwriter,g6,pop,singer-songwriter,indie,,
indie surf,g6,indie,,,,
indie tico,g6,indie,,,,
indie triste,g6,indie,,,,
indie viet,g6,indie,,,,
indonesian indie,g6,indie,,,,
indy indie,g6,indie,,,,
irish indie,g6,indie,,,,
isle of wight indie,g6,indie,,,,
israeli indie,g6,indie,,,,
j-indie,g6,indie,,,,
jacksonville indie,g6,indie,,,,
k-indie,g6,indie,,,,
kc indie,g6,indie,,,,
kent indie,g6,indie,,,,
kentucky indie,g6,indie,,,,
